心所（Skt / Pāli）,説一切有部,唯識,上座部,備考
śraddhā / saddhā 信,大善地法,善,浄心所共通,✓三系共通
hrī / hiri 慚,大善地法,善,浄心所共通,✓三系共通
apatrāpya / ottappa 愧,大善地法,善,浄心所共通,✓三系共通
alobha 無貪,大善地法,善,浄心所共通,✓三系共通
adveṣa / adosa 無瞋,大善地法,善,浄心所共通,✓三系共通
amoha 無癡,★独立の心所でない,善,,唯識で追加; 上座部は慧と同一視
vīrya / viriya 精進,大善地法,善,雑（pakiṇṇaka）,有部+唯識: 善のみ; 上座部: 善悪可変
praśrabdhi / passaddhi 軽安,大善地法,善,浄心所共通（×2: 身＋心）,上座部は2法に分割
apramāda 不放逸,大善地法,善,★独立の心所でない,上座部: 複合概念
upekṣā / tatramajjhattatā 捨,大善地法,善,浄心所共通,✓三系共通
ahiṃsā 不害,大善地法,善,★独立の心所でない,上座部: 無瞋＋悲で処理
— / kāya-lahutā 身軽快性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / citta-lahutā 心軽快性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / kāya-mudutā 身柔軟性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / citta-mudutā 心柔軟性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / kāya-kammaññatā 身適業性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / citta-kammaññatā 心適業性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / kāya-pāguññatā 身練達性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / citta-pāguññatā 心練達性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / kāyujjukatā 身正直性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / cittujjukatā 心正直性,★対応物なし,★対応物なし,浄心所共通,上座部固有
— / sammā-vācā 正語,★心所でない,★心所でない,浄心所 / 離,上座部固有の心所
— / sammā-kammanta 正業,★心所でない,★心所でない,浄心所 / 離,上座部固有の心所
— / sammā-ājīva 正命,★心所でない,★心所でない,浄心所 / 離,上座部固有の心所
— / karuṇā 悲,★独立の心所でない,★独立の心所でない,浄心所 / 無量,上座部固有の心所
— / muditā 随喜,★独立の心所でない,★独立の心所でない,浄心所 / 無量,上座部固有の心所
