心所（Skt / Pāli）,説一切有部,唯識,上座部,備考
sparśa / phassa 触,大地法（遍行）,遍行,遍一切心,✓三系共通: 遍行
vedanā 受,大地法,遍行,遍一切心,✓三系共通: 遍行
saṃjñā / saññā 想,大地法,遍行,遍一切心,✓三系共通: 遍行
cetanā 思,大地法,遍行,遍一切心,✓三系共通: 遍行
manaskāra / manasikāra 作意,大地法,遍行,遍一切心,✓三系共通: 遍行
chanda 欲,大地法（遍行）,別境,雑（pakiṇṇaka）,有部: 遍行; 唯識+上座部: 遍行でない
adhimokṣa / adhimokkha 勝解,大地法（遍行）,別境,雑,有部: 遍行; 唯識+上座部: 遍行でない
smṛti / sati 念,大地法（遍行）,別境,浄心所（sobhana）,有部: 遍行; 唯識: 条件付; 上座部: 善心のみ
samādhi / ekaggatā 定,大地法（遍行）,別境,遍一切心,有部+上座部: 遍行; 唯識: 遍行でない
prajñā / paññā 慧,大地法（遍行）,別境,浄心所（paññindriya）,有部: 遍行; 唯識: 条件付; 上座部: 善心のみ
— / jīvitindriya 命根,★不相応行,★不相応行,遍一切心,範疇移動: 不相応行→心所
— / ekaggatā 一境性,,,遍一切心,上座部の名称が異なる; 機能=定
— / pīti 喜,★独立の心所でない（→受）,★独立の心所でない,雑（pakiṇṇaka）,上座部固有の独立心所
